a_divisor,b_multiplier,c_adder,collatz_conv_rate,avg_steps,et_h_a,et_h_b,et_h_d,et_h_c_orig,et_h_c_v2
10,5,12,0.0,0.0,2,2,1000,2,26
4,3,5,0.0,0.0,2,3,1000,2,1000
11,16,3,0.0,0.0,2,1,1000,2,1000
2,5,4,0.0,0.0,1,1000,1000,1,2
5,15,11,0.0,0.0,1,1000,1000,1,1
2,20,13,0.0,0.0,1,2,1000,1,1
7,10,15,0.0,0.0,1,1000,1000,1,1000
5,17,14,0.0,0.0,1,1000,1000,1,1
20,11,7,0.0,0.0,4,1,1000,3,1000
6,8,17,0.0,0.0,1,1000,1000,1,8
9,1,4,0.250501002004008,11.024,1000,1,1000,1000,9
18,3,1,0.0,0.0,1000,1,1000,1000,1000
6,17,3,0.0,0.0,1,2,1000,1,1000
8,1,5,0.8016032064128257,21.2625,1000,1,1000,6,5
20,19,19,0.0,0.0,2,3,1000,2,1000
10,4,1,0.0,0.0,8,1,1000,5,1000
20,14,12,0.0,0.0,3,1,1000,2,1000
15,15,15,1.0,26.32064128256513,2,3,1000,2,1000
14,1,10,0.0,0.0,8,1,1000,7,3
4,20,6,0.0,0.0,1,3,1000,1,1
7,14,17,0.0,0.0,1,1000,1000,1,2
19,8,10,0.0,0.0,6,1,1000,3,1000
6,2,14,0.0,0.0,1,1,1000,1,1
14,16,1,0.0,0.0,2,1,1000,2,1000
12,15,19,0.0,0.0,1,6,1000,1,1000
9,10,20,0.0,0.0,1,1000,1000,1,1000
9,19,17,0.0,0.0,1,1000,1000,1,2
3,5,20,0.0,0.0,1,4,1000,1,1
18,19,13,0.0,0.0,2,2,1000,2,1000
6,16,5,0.0,0.0,1,3,1000,1,8
20,13,3,0.0,0.0,4,1,1000,3,1000
2,1,11,0.9098196392785571,9.797356828193832,1,3,5,1,1
17,20,1,0.0,0.0,2,1,1000,2,1000
9,1,1,1.0,16.517034068136272,1000,1,1000,1000,1000
9,16,18,0.0,0.0,1,1000,1000,1,2
18,10,8,0.006012024048096192,3.0,4,1,1000,3,1000
10,5,12,0.0,0.0,2,2,1000,2,26
14,3,13,0.012024048096192385,4.666666666666667,4,1,1000,3,3
7,2,6,0.0,0.0,4,1,1000,3,4
20,15,17,0.0,0.0,2,2,1000,2,1000
19,15,5,0.0,0.0,3,1,1000,2,1000
20,3,15,0.0,0.0,6,1,1000,5,3
19,12,4,0.0,0.0,4,1,1000,3,1000
14,5,1,0.0,0.0,28,1,1000,6,1000
6,15,8,0.0,0.0,1,1000,1000,1,3
7,6,17,0.0,0.0,1,1000,1000,1,1000
3,5,9,0.0,0.0,1,1000,1000,1,2
5,16,2,0.0,0.0,1,2,1000,1,1000
18,2,6,0.0,0.0,1000,1,1000,1000,1000
18,13,11,0.0,0.0,3,2,1000,2,1000
4,6,5,0.0,0.0,2,5,1000,1,1000
20,15,3,0.0,0.0,3,1,1000,3,1000
5,4,16,0.0,0.0,1,187,1000,1,4
2,11,12,0.0,0.0,1,3,1000,1,1
4,19,14,0.0,0.0,1,4,1000,1,1
12,14,13,0.0,0.0,2,3,1000,1,1000
9,8,7,0.0,0.0,2,2,1000,2,1000
5,15,12,0.0,0.0,1,1000,1000,1,1
2,15,15,0.0,0.0,1,2,1000,1,1
13,20,10,0.0,0.0,2,3,1000,1,1000
18,13,2,0.0,0.0,3,1,1000,3,1000
18,15,10,0.0,0.0,3,2,1000,2,1000
2,20,18,0.0,0.0,1,2,1000,1,1
5,1,6,0.3346693386773547,10.221556886227544,2,1,1000,2,2
12,11,3,0.0,0.0,3,1,1000,2,1000
20,10,8,0.0,0.0,5,1,1000,3,1000
14,1,11,0.45691382765531063,34.478070175438596,7,1,1000,6,1
2,5,19,0.0,0.0,1,3,1000,1,1
15,3,13,0.0,0.0,5,1,1000,3,3
3,9,4,0.0,0.0,1,8,1000,1,148
10,19,1,0.0,0.0,2,1,1000,2,1000
10,1,6,0.0,0.0,1000,1,1000,9,6
7,20,10,0.0,0.0,1,76,1000,1,3
9,2,6,0.0,0.0,7,1,1000,4,5
15,3,15,0.0,0.0,4,1,1000,2,3
4,10,1,0.0,0.0,1,1,1000,1,1000
14,15,20,0.0,0.0,2,4,1000,1,1000
18,1,3,0.0,0.0,1000,1,1000,1000,1000
6,18,11,0.0,0.0,1,1000,1000,1,1
6,18,7,0.0,0.0,1,5,1000,1,1000
19,14,6,0.0,0.0,3,1,1000,2,1000
12,16,17,0.0,0.0,2,5,1000,1,1000
6,14,11,0.0,0.0,1,1000,1000,1,2
13,19,17,0.0,0.0,2,5,1000,1,1000
3,12,14,0.0,0.0,1,9,1000,1,1
13,15,14,0.0,0.0,2,3,1000,1,1000
10,7,1,0.0,0.0,3,1,1000,3,1000
5,18,1,0.0,0.0,1,1,1000,1,1000
9,12,20,0.0,0.0,1,1000,1000,1,1000
7,19,2,0.0,0.0,1,1,1000,1,1000
8,4,1,0.0,0.0,5,1,1000,4,1000
3,9,15,0.0,0.0,1,35,1000,1,1
5,7,11,0.0,0.0,1,1000,1000,1,55
20,16,16,0.0,0.0,2,2,1000,2,1000
6,20,12,0.0,0.0,1,1000,1000,1,1
19,12,3,0.0,0.0,4,1,1000,3,1000
17,20,20,0.0,0.0,2,4,1000,1,1000
17,3,11,0.0,0.0,10,1,1000,5,5
4,18,12,0.0,0.0,1,5,1000,1,1
17,12,5,0.008016032064128256,3.0,3,1,1000,3,1000
6,15,19,0.0,0.0,1,1000,1000,1,1
20,5,5,0.0,0.0,1000,1,1000,31,1000
8,6,19,0.0,0.0,1,11,1000,1,5
20,17,14,0.0,0.0,2,2,1000,2,1000
8,7,19,0.0,0.0,1,1000,1000,1,1000
3,11,12,0.0,0.0,1,1000,1000,1,1
8,13,7,0.0,0.0,2,3,1000,1,1000
14,15,18,0.0,0.0,2,4,1000,1,1000
9,17,18,0.0,0.0,1,1000,1000,1,2
2,9,11,0.0,0.0,1,3,1000,1,1
16,9,18,0.0,0.0,2,3,1000,2,143
10,5,3,0.0,0.0,6,1,1000,3,1000
7,9,6,0.0,0.0,2,3,1000,1,1000
15,11,14,0.0,0.0,2,3,1000,2,1000
12,11,11,0.0,0.0,2,3,1000,2,1000
9,16,9,0.0,0.0,1,4,1000,1,24
18,1,18,0.0,0.0,5,1,1000,4,1
10,16,4,0.0,0.0,2,2,1000,2,1000
12,8,11,0.0,0.0,2,2,1000,2,1000
8,7,3,0.0,0.0,3,1,1000,2,1000
6,4,10,0.0,0.0,2,3,1000,1,21
6,9,18,0.0,0.0,1,1000,1000,1,3
8,14,17,0.0,0.0,1,1000,1000,1,2
12,8,4,0.006012024048096192,3.0,3,1,1000,3,1000
8,7,7,0.0,0.0,2,3,1000,2,1000
16,10,17,0.0,0.0,2,3,1000,2,1000
7,18,15,0.0,0.0,1,1000,1000,1,1
11,6,20,0.0,0.0,2,3,1000,1,3
3,8,14,0.0,0.0,1,1000,1000,1,1
6,16,16,0.0,0.0,1,1000,1000,1,1
9,17,5,0.0,0.0,2,2,1000,1,1000
14,8,13,0.0,0.0,3,2,1000,2,1000
13,4,19,0.0,0.0,2,1,1000,2,2
5,10,18,0.0,0.0,1,1000,1000,1,1
8,19,5,0.0,0.0,1,2,1000,1,1000
6,20,17,0.0,0.0,1,1000,1000,1,1
11,11,20,0.0,0.0,1,7,1000,1,1000
19,14,5,0.006012024048096192,3.0,3,1,1000,3,1000
14,18,5,0.0,0.0,2,1,1000,2,1000
3,13,3,0.0,0.0,1,3,1000,1,2
3,11,7,0.0,0.0,1,1000,1000,1,1
17,11,18,0.0,0.0,2,3,1000,2,1000
20,11,9,0.006012024048096192,3.0,4,1,1000,3,1000
8,8,14,0.0,0.0,1,5,1000,1,1000
5,10,17,0.0,0.0,1,1000,1000,1,1
12,12,3,0.0,0.0,2,1,1000,2,1000
2,3,17,0.35671342685370744,10.179775280898877,1,3,1000,1,1
14,18,6,0.0,0.0,2,2,1000,2,1000
13,2,4,0.0,0.0,1000,1,1000,1000,1000
11,6,6,0.0,0.0,4,1,1000,2,1000
18,15,8,0.0,0.0,3,1,1000,2,1000
5,7,6,0.0,0.0,2,4,1000,1,1000
10,8,15,0.0,0.0,2,3,1000,1,1000
11,6,3,0.0,0.0,4,1,1000,3,1000
19,17,15,0.0,0.0,2,2,1000,2,1000
13,17,10,0.0,0.0,2,3,1000,1,1000
13,2,2,0.0,0.0,1000,1,1000,1000,1000
18,14,9,0.0,0.0,3,1,1000,2,1000
19,7,20,0.0,0.0,3,1,1000,2,4
6,2,2,0.0,0.0,1000,1,1000,5,1000
9,3,13,0.0,0.0,2,1,1000,2,2
5,3,15,0.0,0.0,1,7,1000,1,2
7,11,20,0.0,0.0,1,1000,1000,1,2
5,8,7,0.0,0.0,1,25,1000,1,9
9,5,13,0.0,0.0,2,3,1000,2,5
3,7,15,0.0,0.0,1,1000,1000,1,1
17,13,18,0.0,0.0,2,3,1000,2,1000
13,8,4,0.0,0.0,4,1,1000,3,1000
12,6,14,0.0,0.0,2,2,1000,2,50
2,7,5,0.0,0.0,1,1000,1000,1,1
12,7,3,0.0,0.0,4,1,1000,3,1000
3,10,7,0.0,0.0,1,1000,1000,1,1
14,18,10,0.0,0.0,2,2,1000,2,1000
3,2,11,0.0,0.0,1,5,1000,1,2
3,5,16,0.0,0.0,1,10,1000,1,1
8,18,6,0.0,0.0,1,3,1000,1,7
12,7,12,0.0,0.0,2,2,1000,2,1000
5,19,13,0.0,0.0,1,56,1000,1,1
2,14,6,0.0,0.0,1,3,1000,1,1
16,8,19,0.0,0.0,2,2,1000,2,41
7,7,8,0.0,0.0,2,3,1000,1,1000
18,4,20,0.0,0.0,3,1,1000,2,3
9,8,16,0.0,0.0,2,6,1000,1,1000
4,10,7,0.0,0.0,1,1000,1000,1,2
12,4,4,0.0,0.0,1000,1,1000,5,1000
20,5,3,0.0,0.0,1000,1,1000,1000,1000
9,8,15,0.0,0.0,2,5,1000,1,1000
7,12,11,0.0,0.0,1,830,1000,1,3
10,5,14,0.0,0.0,2,3,1000,2,7
11,4,20,0.0,0.0,2,1,1000,1,2
7,15,20,0.0,0.0,1,1000,1000,1,1
11,2,7,0.056112224448897796,9.107142857142858,10,1,1000,5,5
10,17,3,0.0,0.0,2,1,1000,2,1000
6,16,3,0.0,0.0,1,2,1000,1,1000
2,17,15,0.02004008016032064,5.7,1,2,1000,1,1
18,7,20,0.0,0.0,2,1,1000,2,5
12,6,12,0.0,0.0,2,2,1000,2,13
2,14,1,0.0,0.0,1,2,1000,1,1000
3,9,18,0.501002004008016,7.232,1,6,1000,1,1
11,15,18,0.0,0.0,1,8,1000,1,1000
9,1,9,0.0,0.0,4,1,1000,4,1
17,9,19,0.0,0.0,2,2,1000,2,9
20,11,14,0.0,0.0,3,1,1000,2,1000
7,8,8,0.0,0.0,2,3,1000,1,1000
6,11,19,0.0,0.0,1,1000,1000,1,2
2,9,18,0.0,0.0,1,2,1000,1,1
13,10,1,0.0,0.0,3,1,1000,3,1000
14,8,14,0.0,0.0,2,2,1000,2,1000
2,16,10,0.0,0.0,1,2,1000,1,1
10,2,6,0.0,0.0,12,1,1000,5,6
7,13,1,0.0,0.0,2,1,1000,2,1000
10,5,5,0.06412825651302605,75.5,5,1,1000,3,1000
14,3,4,0.0,0.0,1000,1,1000,1000,1000
12,11,3,0.0,0.0,3,1,1000,2,1000
10,11,3,0.0,0.0,2,1,1000,2,1000
14,7,12,0.0,0.0,3,1,1000,2,1000
13,11,12,0.0,0.0,2,3,1000,2,1000
5,7,20,0.0,0.0,1,16,1000,1,3
11,7,3,0.0,0.0,4,1,1000,3,1000
3,2,19,0.0,0.0,1,3,1000,1,1
5,3,1,0.04008016032064128,6.3,4,1,1000,3,1000
14,8,15,0.0,0.0,2,3,1000,2,1000
3,6,6,0.0,0.0,1,1000,1000,1,2
16,6,16,0.0,0.0,3,1,1000,2,5
4,9,1,0.0,0.0,1,1,1000,1,1000
19,17,20,0.0,0.0,2,3,1000,2,1000
2,16,12,0.0,0.0,1,2,1000,1,1
3,12,2,0.0,0.0,1,2,1000,1,3
5,19,15,0.0,0.0,1,1000,1000,1,1
2,12,10,0.0,0.0,1,3,1000,1,1
16,14,7,0.0,0.0,3,1,1000,2,1000
17,20,8,0.0,0.0,2,2,1000,2,1000
20,16,13,0.0,0.0,3,2,1000,2,1000
3,9,4,0.0,0.0,1,8,1000,1,148
18,9,6,0.0,0.0,6,1,1000,3,1000
13,2,12,0.0,0.0,4,1,1000,4,3
12,15,2,0.0,0.0,2,1,1000,2,1000
8,11,17,0.0,0.0,1,1000,1000,1,1000
18,2,10,0.0,0.0,1000,1,1000,95,6
11,8,5,0.0,0.0,3,1,1000,2,1000
19,15,13,0.0,0.0,2,2,1000,2,1000
17,8,14,0.0,0.0,3,1,1000,2,1000
13,3,13,0.0,0.0,4,1,1000,2,3
19,18,5,0.0,0.0,3,1,1000,2,1000
12,3,2,0.0,0.0,1000,1,1000,1000,1000
11,12,9,0.0,0.0,2,3,1000,2,1000
7,4,11,0.0,0.0,2,3,1000,1,5
7,10,15,0.0,0.0,1,1000,1000,1,1000
18,6,9,0.0,0.0,18,1,1000,4,1000
11,9,4,0.01002004008016032,3.8,3,1,1000,2,1000
2,3,1,1.0,20.17434869739479,2,2,1000,2,1000
4,4,2,0.0,0.0,2,2,1000,2,1000
18,20,7,0.0,0.0,2,1,1000,2,1000
9,3,3,0.0,0.0,1000,1,1000,5,1000
13,8,7,0.0,0.0,3,1,1000,2,1000
17,3,3,0.0,0.0,1000,1,1000,1000,1000
4,19,19,0.0,0.0,1,4,1000,1,1
8,14,5,0.0,0.0,2,2,1000,1,1000
19,2,18,0.0,0.0,5,1,1000,4,1
14,5,13,0.0,0.0,3,1,1000,2,5
9,12,12,0.0,0.0,2,5,1000,1,1000
8,2,6,0.01603206412825651,3.5,5,1,1000,4,4
16,20,14,0.0,0.0,2,3,1000,1,1000
3,7,7,0.0,0.0,1,1000,1000,1,2
16,7,18,0.0,0.0,2,1,1000,2,9
